label,best_acc,rounds_to_target,loss_std_lastN,avg_grad_diff,params
Random,0.8967295426787896,,0.01185448494902312,16.7391282130378,"{'batch_size': 10, 'clients_per_round': 10, 'dataset': 'mnist', 'drop_percent': 0.1, 'eval_every': 1, 'learning_rate': 0.03, 'model': 'mclr', 'model_params': '(10,)', 'mu': 1.0, 'num_epochs': 20, 'num_iters': 1, 'num_rounds': 200, 'optimizer': 'fedprox', 'seed': 0, 'selection_method': 'random'}"
Genetic,0.8991722078979508,,0.005889008066330272,17.22332268605272,"{'batch_size': 10, 'clients_per_round': 10, 'dataset': 'mnist', 'drop_percent': 0.1, 'eval_every': 1, 'learning_rate': 0.03, 'model': 'mclr', 'model_params': '(10,)', 'mu': 1.0, 'num_epochs': 20, 'num_iters': 1, 'num_rounds': 200, 'optimizer': 'fedprox', 'seed': 0, 'selection_method': 'ga'}"
